"distancia_km","cota","pendiente","curvatura","elemento","tipo_elemento","curvatura_magnitud"
100.165227,942.744,0,0,NA,0,0
100.205227,942.744,0,0,NA,0,0
100.245227,942.744,0,0,NA,0,0
100.265227,942.744,0,0,NA,0,0
100.319344,942.744,0,0,"Barbadillo del Mercado",1,0
100.365227,942.744,0,0,NA,0,0
100.465227,942.744,0,0,NA,0,0
100.465227,942.744,0,0,NA,0,0
100.509672,942.744,0,0,"Barbadillo del Mercado",1,0
100.565227,942.744,0,0,NA,0,0
100.665227,942.744,0,0,NA,0,0
100.685227,942.744,0,0,NA,0,0
100.725227,942.744,0,0,NA,0,0
100.815227,942.744,0,0.002,NA,0,0.002
100.902492,942.744,0,0.002,NA,0,0.002
100.946125,942.744,0,0,NA,0,0
100.966125,942.744,0,0,NA,0,0
100.968766,942.744,0,0,NA,0,0
101.018766,942.744,0,0,NA,0,0
101.023766,942.744,0,0,NA,0,0
101.026406,942.744,0,0,NA,0,0
101.126406,942.744,0,0,NA,0,0
101.156406,942.744,0,0,NA,0,0
101.166406,942.744,0,0,NA,0,0
101.176406,942.744,0,0,NA,0,0
101.179047,942.744,0,0,NA,0,0
101.186758,942.744,0,0,NA,0,0
101.194469,942.744,0,0,NA,0,0
101.199469,942.744,0,0,NA,0,0
101.202109,942.744,0,0,NA,0,0
101.217383,942.744,0,0,NA,0,0
101.220383,942.744,0,0,NA,0,0
101.22118,942.744,0.261798,-0.00266666664,NA,0,0.00266666664
101.253906,942.83,0.260802,-0.00266666664,NA,0,0.00266666664
101.286633,942.9142,0.257821023,-0.00266666664,NA,0,0.00266666664
101.319359,942.998,0.25287798,-0.00266666664,NA,0,0.00266666664
101.352086,943.08,0.523597,-0.00266666664,NA,0,0.00266666664
101.384813,943.251,0.521605,-0.00266666664,NA,0,0.00266666664
101.417539,943.421,0.261801,-0.00266666664,NA,0,0.00266666664
101.450266,943.507,0,-0.00266666664,NA,0,0.00266666664
101.482992,943.507,0,-0.00266666664,NA,0,0.00266666664
101.515719,943.507,0,-0.00266666664,NA,0,0.00266666664
101.548445,943.507,0,-0.00266666664,NA,0,0.00266666664
101.581172,943.507,0,-0.00266666664,NA,0,0.00266666664
101.6139,943.507,0,-0.00266666664,NA,0,0.00266666664
101.646625,943.507,0,-0.00266666664,NA,0,0.00266666664
101.679352,943.507,0,-0.00266666664,NA,0,0.00266666664
101.712078,943.507,0,-0.00266666664,NA,0,0.00266666664
101.744805,943.507,0,-0.00266666664,NA,0,0.00266666664
101.777531,943.507,0,-0.00266666664,NA,0,0.00266666664
